"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2020-01-01,8748.44386610057,54.7593350700598,54.7593350700598,54.7593350700598,54.7593350700598,54.7593350700598,54.7593350700598,0,0,0,5649.06155271407,11634.1334694055,8748.44386610057,8748.44386610057,8803.20320117063
2020-01-02,8737.97233186365,93.1047034025275,93.1047034025275,93.1047034025275,93.1047034025275,93.1047034025275,93.1047034025275,0,0,0,5992.84765151076,11745.3791403393,8737.97233186365,8737.97233186365,8831.07703526618
2020-01-03,8727.50079762673,36.9731940371488,36.9731940371488,36.9731940371488,36.9731940371488,36.9731940371488,36.9731940371488,0,0,0,5978.98116644666,11684.6354205058,8727.50079762673,8727.50079762673,8764.47399166388
2020-01-04,8717.02926338981,145.049246259879,145.049246259879,145.049246259879,145.049246259879,145.049246259879,145.049246259879,0,0,0,6073.73086705972,11776.8004351919,8717.02926338981,8717.02926338981,8862.07850964969
2020-01-05,8706.55772915289,-18.1877587332458,-18.1877587332458,-18.1877587332458,-18.1877587332458,-18.1877587332458,-18.1877587332458,0,0,0,5677.32401015015,11510.4353649068,8706.55772915289,8706.55772915289,8688.36997041965
2020-01-06,8696.08619491597,-172.070185697047,-172.070185697047,-172.070185697047,-172.070185697047,-172.070185697047,-172.070185697047,0,0,0,5400.40127417571,11424.2331754037,8696.08619491597,8696.08619491597,8524.01600921893
2020-01-07,8685.61466067905,-139.628534340015,-139.628534340015,-139.628534340015,-139.628534340015,-139.628534340015,-139.628534340015,0,0,0,6005.85619575703,11555.0848329825,8685.61466067905,8685.61466067905,8545.98612633904
2020-01-08,8675.14312644213,54.7593350703045,54.7593350703045,54.7593350703045,54.7593350703045,54.7593350703045,54.7593350703045,0,0,0,5858.33913452022,11561.8576469552,8675.14312644213,8675.14312644213,8729.90246151244
2020-01-09,8664.67159220521,93.1047034025293,93.1047034025293,93.1047034025293,93.1047034025293,93.1047034025293,93.1047034025293,0,0,0,5907.9772740078,11404.6399582198,8664.67159220521,8664.67159220521,8757.77629560774
2020-01-10,8654.20005796829,36.9731940370805,36.9731940370805,36.9731940370805,36.9731940370805,36.9731940370805,36.9731940370805,0,0,0,5980.4759340235,11576.2082894415,8654.20005796829,8654.20005796829,8691.17325200537
